edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,3,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,8ed808b5-e036-47c0-ae42-65bdf728b207,e3b6a145-be19-4e17-b323-49cd77ae0411,4f3b9164-e0a5-4527-b4f3-9c0e9d3e5ec0
2,1,6,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,3e87012d-cfee-43f7-aca8-113f0e2ab9f3,e3b6a145-be19-4e17-b323-49cd77ae0411,79f4c110-a78e-4564-aa04-ab7281d55f31
3,1,8,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,71a32e0e-9817-41dc-a21c-18b908929620,e3b6a145-be19-4e17-b323-49cd77ae0411,02ec5599-3c1a-4ee5-8281-909022ca1811
4,1,11,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,f8ad2aa7-9f79-4e71-9089-07cb34082d5e,e3b6a145-be19-4e17-b323-49cd77ae0411,7a155d16-c42f-4344-9b98-3a561a2fd6f4
5,1,12,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,f40fecc4-3493-4cce-9088-ca75f3f78cf4,e3b6a145-be19-4e17-b323-49cd77ae0411,197b04a5-e251-47ed-9eb1-2135707af410
6,1,13,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,330bfccd-457f-46b8-92b5-1d30f438c57c,e3b6a145-be19-4e17-b323-49cd77ae0411,2ce627ba-167a-4c4c-af5e-fcf4054513ab
7,1,15,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,6517d5f5-4b2e-435c-a4c1-faa077cf6249,e3b6a145-be19-4e17-b323-49cd77ae0411,545234f0-fcec-415b-a75f-4d59741ed1a7
8,2,4,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,fc9620e8-d081-4213-b3c2-0ed231369715,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,22db68f3-0f08-49b3-b6e0-1f381da62643
9,2,5,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,0860db9d-3e09-4904-8968-c49767d391b2,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,2d26680b-22e9-4151-ace9-01b6c059b7e6
10,2,7,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,49236339-799d-477d-84b4-5d751793db9f,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,ce57de46-4fdf-47b7-82ed-7081e93d31b4
11,2,9,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,441c0bc9-33c7-47d9-ab1d-4ee44ceea6a1,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,5471a0a9-bbc9-43fb-b01d-1c079132b6df
12,2,12,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,b5fe2185-f993-407a-aaeb-4de208d818aa,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,197b04a5-e251-47ed-9eb1-2135707af410
13,3,4,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,0b453016-b3e6-4a2a-bec1-86400e3a8a40,4f3b9164-e0a5-4527-b4f3-9c0e9d3e5ec0,22db68f3-0f08-49b3-b6e0-1f381da62643
