networkCanvasEgoUUID,networkCanvasUUID,nodeID,name,alter_gender,alter_age,ego_alter_interaction_frequency,ego_alter_emotional_closeness,ego_alter_interaction_context,languageUsedCategory,languageKnownCategory,ego_alter_cs_frequency
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e3b6a145-be19-4e17-b323-49cd77ae0411,1,alter1,male,65_99,3,1,family,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,2,alter2,female,0_9,4,3,school,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,4f3b9164-e0a5-4527-b4f3-9c0e9d3e5ec0,3,alter3,other,10_17,4,2,social,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,22db68f3-0f08-49b3-b6e0-1f381da62643,4,alter4,male,65_99,1,2,social,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2d26680b-22e9-4151-ace9-01b6c059b7e6,5,alter5,other,18_25,4,2,community,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,79f4c110-a78e-4564-aa04-ab7281d55f31,6,alter6,female,18_25,1,1,social,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,ce57de46-4fdf-47b7-82ed-7081e93d31b4,7,alter7,female,65_99,4,4,community,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,02ec5599-3c1a-4ee5-8281-909022ca1811,8,alter8,other,18_25,3,1,family,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,5471a0a9-bbc9-43fb-b01d-1c079132b6df,9,alter9,other,46_55,2,4,work,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e4e6a7d7-2c98-4c07-9b7e-a945faf317c4,10,alter10,male,0_9,2,3,community,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7a155d16-c42f-4344-9b98-3a561a2fd6f4,11,alter11,male,56_65,2,4,social,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,197b04a5-e251-47ed-9eb1-2135707af410,12,alter12,other,18_25,5,2,family,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2ce627ba-167a-4c4c-af5e-fcf4054513ab,13,alter13,female,56_65,1,1,social,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,aeb3c7b5-339a-4eda-aaaa-8b5a389f8ef1,14,alter14,female,36_45,2,4,community,Spanish-English,Spanish-English,4
4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,545234f0-fcec-415b-a75f-4d59741ed1a7,15,alter15,male,26_35,5,4,community,Spanish-English,Spanish-English,4
fe801e88-5207-4550-a877-b072e25bebf4,eebe9d77-d572-4b52-933e-fb133e2c1c0f,1,alter1,other,56_65,2,2,social,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,c472adf2-f897-47b4-842b-59b1f070a217,2,alter2,male,56_65,3,5,school,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,6833df99-0aa7-4265-925e-3790176a9741,3,alter3,female,10_17,2,1,work,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,cace45cd-1fed-461b-8750-ada5987430b3,4,alter4,other,0_9,5,2,school,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,c6037abf-e06e-4faf-a781-1ae017a0d199,5,alter5,female,26_35,1,1,social,English,English,NA
