nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e3b6a145-be19-4e17-b323-49cd77ae0411,65_99,true,false,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter1,male,1
2,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,0_9,false,false,true,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter2,female,3
3,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,4f3b9164-e0a5-4527-b4f3-9c0e9d3e5ec0,10_17,false,false,false,false,true,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter3,other,2
4,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,22db68f3-0f08-49b3-b6e0-1f381da62643,65_99,false,false,false,false,true,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter4,male,2
5,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2d26680b-22e9-4151-ace9-01b6c059b7e6,18_25,false,true,false,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter5,other,2
6,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,79f4c110-a78e-4564-aa04-ab7281d55f31,18_25,false,false,false,false,true,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter6,female,1
7,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,ce57de46-4fdf-47b7-82ed-7081e93d31b4,65_99,false,true,false,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter7,female,4
8,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,02ec5599-3c1a-4ee5-8281-909022ca1811,18_25,true,false,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter8,other,1
9,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,5471a0a9-bbc9-43fb-b01d-1c079132b6df,46_55,false,false,false,true,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter9,other,4
10,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e4e6a7d7-2c98-4c07-9b7e-a945faf317c4,0_9,false,true,false,false,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter10,male,3
11,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7a155d16-c42f-4344-9b98-3a561a2fd6f4,56_65,false,false,false,false,true,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter11,male,4
12,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,197b04a5-e251-47ed-9eb1-2135707af410,18_25,true,false,false,false,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter12,other,2
13,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2ce627ba-167a-4c4c-af5e-fcf4054513ab,56_65,false,false,false,false,true,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter13,female,1
14,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,aeb3c7b5-339a-4eda-aaaa-8b5a389f8ef1,36_45,false,true,false,false,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter14,female,4
15,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,545234f0-fcec-415b-a75f-4d59741ed1a7,26_35,false,true,false,false,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter15,male,4
