nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,fe801e88-5207-4550-a877-b072e25bebf4,eebe9d77-d572-4b52-933e-fb133e2c1c0f,56_65,false,false,false,false,true,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter1,other,2
2,fe801e88-5207-4550-a877-b072e25bebf4,c472adf2-f897-47b4-842b-59b1f070a217,56_65,false,false,true,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter2,male,5
3,fe801e88-5207-4550-a877-b072e25bebf4,6833df99-0aa7-4265-925e-3790176a9741,10_17,false,false,false,true,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter3,female,1
4,fe801e88-5207-4550-a877-b072e25bebf4,cace45cd-1fed-461b-8750-ada5987430b3,0_9,false,false,true,false,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter4,other,2
5,fe801e88-5207-4550-a877-b072e25bebf4,c6037abf-e06e-4faf-a781-1ae017a0d199,26_35,false,false,false,false,true,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter5,female,1
6,fe801e88-5207-4550-a877-b072e25bebf4,9add8de0-78c8-42c2-8168-eac4a15c6eeb,10_17,false,true,false,false,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter6,male,1
7,fe801e88-5207-4550-a877-b072e25bebf4,cd2bcd69-dbba-4864-9433-60cf27ca6ae0,26_35,false,false,false,false,true,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter7,other,4
8,fe801e88-5207-4550-a877-b072e25bebf4,fb337e19-1715-4a37-874d-6da8de8f0062,18_25,false,true,false,false,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter8,other,4
9,fe801e88-5207-4550-a877-b072e25bebf4,309daa5c-7962-4b11-be9a-924572578e3d,65_99,false,true,false,false,false,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter9,female,1
10,fe801e88-5207-4550-a877-b072e25bebf4,428df887-09d8-48d1-9eb0-b6885c85e6b3,56_65,true,false,false,false,false,3,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter10,male,4
11,fe801e88-5207-4550-a877-b072e25bebf4,2a26b78d-e1ef-4ccd-af6b-a3cc8b0bfebf,0_9,false,false,false,true,false,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter11,female,4
12,fe801e88-5207-4550-a877-b072e25bebf4,f8b7c244-de53-4b0b-8066-62fc1195af50,10_17,false,false,true,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter12,female,2
13,fe801e88-5207-4550-a877-b072e25bebf4,ec873b5c-bda8-4aae-aae7-80ea5c71a307,65_99,false,false,false,false,true,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter13,male,2
14,fe801e88-5207-4550-a877-b072e25bebf4,be2ee124-a454-49de-aeba-04dcaf282aad,65_99,false,false,true,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter14,female,4
15,fe801e88-5207-4550-a877-b072e25bebf4,0bad3513-17f0-4db3-bc9a-6ceebaa5e9cc,10_17,false,false,false,false,true,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter15,other,5
