edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,fe801e88-5207-4550-a877-b072e25bebf4,08a36608-1242-4ebc-ac9d-94b16f342326,eebe9d77-d572-4b52-933e-fb133e2c1c0f,c472adf2-f897-47b4-842b-59b1f070a217
2,1,3,fe801e88-5207-4550-a877-b072e25bebf4,0dfeda7b-1e03-4be6-9b06-b8ca2c62827b,eebe9d77-d572-4b52-933e-fb133e2c1c0f,6833df99-0aa7-4265-925e-3790176a9741
3,1,5,fe801e88-5207-4550-a877-b072e25bebf4,a07668ef-ce87-4c62-a3e1-1e44efd9dac9,eebe9d77-d572-4b52-933e-fb133e2c1c0f,c6037abf-e06e-4faf-a781-1ae017a0d199
4,1,6,fe801e88-5207-4550-a877-b072e25bebf4,9eb2e681-3066-4fff-9351-926630710335,eebe9d77-d572-4b52-933e-fb133e2c1c0f,9add8de0-78c8-42c2-8168-eac4a15c6eeb
5,1,7,fe801e88-5207-4550-a877-b072e25bebf4,d6831112-7182-4192-bf45-dd349281eb53,eebe9d77-d572-4b52-933e-fb133e2c1c0f,cd2bcd69-dbba-4864-9433-60cf27ca6ae0
6,1,8,fe801e88-5207-4550-a877-b072e25bebf4,017eb9b1-0d82-476e-94df-a4e503eaf35b,eebe9d77-d572-4b52-933e-fb133e2c1c0f,fb337e19-1715-4a37-874d-6da8de8f0062
7,2,5,fe801e88-5207-4550-a877-b072e25bebf4,2c2646d9-e9b9-4c5a-a771-913d0aa7e39e,c472adf2-f897-47b4-842b-59b1f070a217,c6037abf-e06e-4faf-a781-1ae017a0d199
8,2,6,fe801e88-5207-4550-a877-b072e25bebf4,ac2f46aa-4e32-4139-94f1-e8daf957bf45,c472adf2-f897-47b4-842b-59b1f070a217,9add8de0-78c8-42c2-8168-eac4a15c6eeb
9,3,4,fe801e88-5207-4550-a877-b072e25bebf4,f35da8df-57d2-417a-9086-cc7d4f49f02c,6833df99-0aa7-4265-925e-3790176a9741,cace45cd-1fed-461b-8750-ada5987430b3
10,3,6,fe801e88-5207-4550-a877-b072e25bebf4,aee2415a-9c6c-4753-adeb-d6e52afa8b77,6833df99-0aa7-4265-925e-3790176a9741,9add8de0-78c8-42c2-8168-eac4a15c6eeb
11,3,7,fe801e88-5207-4550-a877-b072e25bebf4,ac6ffdaf-7346-44e2-ad12-c7710a339ba7,6833df99-0aa7-4265-925e-3790176a9741,cd2bcd69-dbba-4864-9433-60cf27ca6ae0
12,4,5,fe801e88-5207-4550-a877-b072e25bebf4,98613692-96ce-4e70-bd03-9b4bc13025a2,cace45cd-1fed-461b-8750-ada5987430b3,c6037abf-e06e-4faf-a781-1ae017a0d199
13,5,8,fe801e88-5207-4550-a877-b072e25bebf4,fc2d691e-0a1e-4995-9fdf-ca7415516798,c6037abf-e06e-4faf-a781-1ae017a0d199,fb337e19-1715-4a37-874d-6da8de8f0062
14,6,7,fe801e88-5207-4550-a877-b072e25bebf4,97028c40-a111-4f9d-a131-10b01507d8da,9add8de0-78c8-42c2-8168-eac4a15c6eeb,cd2bcd69-dbba-4864-9433-60cf27ca6ae0
15,6,8,fe801e88-5207-4550-a877-b072e25bebf4,54b45d41-9511-4e91-884d-14a2786b1748,9add8de0-78c8-42c2-8168-eac4a15c6eeb,fb337e19-1715-4a37-874d-6da8de8f0062
16,7,8,fe801e88-5207-4550-a877-b072e25bebf4,c652609c-3a12-498e-b060-cbfe39786ea4,cd2bcd69-dbba-4864-9433-60cf27ca6ae0,fb337e19-1715-4a37-874d-6da8de8f0062
17,9,11,fe801e88-5207-4550-a877-b072e25bebf4,16d74fd2-67f6-4664-b123-25bd7dff63ad,309daa5c-7962-4b11-be9a-924572578e3d,2a26b78d-e1ef-4ccd-af6b-a3cc8b0bfebf
18,9,12,fe801e88-5207-4550-a877-b072e25bebf4,67d06e72-0b4b-405f-9116-e4834ad3f450,309daa5c-7962-4b11-be9a-924572578e3d,f8b7c244-de53-4b0b-8066-62fc1195af50
19,9,13,fe801e88-5207-4550-a877-b072e25bebf4,e7485e6a-d629-4034-b621-12488f0c3ee7,309daa5c-7962-4b11-be9a-924572578e3d,ec873b5c-bda8-4aae-aae7-80ea5c71a307
20,9,15,fe801e88-5207-4550-a877-b072e25bebf4,9f5f8715-ebc5-4831-8592-f79bd17b762b,309daa5c-7962-4b11-be9a-924572578e3d,0bad3513-17f0-4db3-bc9a-6ceebaa5e9cc
21,10,11,fe801e88-5207-4550-a877-b072e25bebf4,e87c617a-c694-40f8-89c7-240d867c22e8,428df887-09d8-48d1-9eb0-b6885c85e6b3,2a26b78d-e1ef-4ccd-af6b-a3cc8b0bfebf
22,10,15,fe801e88-5207-4550-a877-b072e25bebf4,ba345c7d-055a-4bbb-9e04-d62f8dbd98bc,428df887-09d8-48d1-9eb0-b6885c85e6b3,0bad3513-17f0-4db3-bc9a-6ceebaa5e9cc
23,12,14,fe801e88-5207-4550-a877-b072e25bebf4,90027d5c-bc3b-4249-b3e1-b73d8cd78343,f8b7c244-de53-4b0b-8066-62fc1195af50,be2ee124-a454-49de-aeba-04dcaf282aad
24,13,14,fe801e88-5207-4550-a877-b072e25bebf4,c17c6663-e4fa-4602-a186-d2931bbc4f07,ec873b5c-bda8-4aae-aae7-80ea5c71a307,be2ee124-a454-49de-aeba-04dcaf282aad
