nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,56_65,false,false,false,false,true,4,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter1,male,3
2,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6a202486-d489-49b3-a55c-93997f07e92c,0_9,false,false,true,false,false,5,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter2,other,1
3,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8e1a4732-d5f4-4a8f-9289-4ccc56853825,36_45,false,true,false,false,false,1,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter3,female,2
4,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,10_17,false,true,false,false,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter4,female,4
5,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,932747df-bb67-4146-b77b-469d3a911704,65_99,false,false,false,true,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter5,female,2
6,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8eb062f2-5b67-4045-8f2f-eb30726bf520,36_45,false,false,true,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter6,female,2
7,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,63b2f257-4567-49e2-a619-aad24f292012,26_35,false,false,true,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter7,female,5
8,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,66a2008e-917b-47ec-b736-1ed0fd836851,18_25,false,true,false,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter8,female,1
9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,dd190408-d0bf-44a8-a3c4-e3a380618681,18_25,true,false,false,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter9,other,5
10,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,cf354d28-aeba-4af5-bbe8-019030d6a220,65_99,false,false,true,false,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter10,male,3
11,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6fc776cf-a42f-491e-b7e0-9c9604fa4cda,36_45,false,false,false,true,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter11,other,4
12,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,2d69aa29-526a-4703-91fd-982897e4ac5c,10_17,false,false,false,true,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter12,female,4
13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec,36_45,false,false,true,false,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter13,female,2
14,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,17d058e0-6fb9-4a2b-813f-186b73e6a380,0_9,false,false,false,false,true,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter14,other,1
15,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,a75642ac-5911-4a55-b61b-f95c757607b4,65_99,false,true,false,false,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter15,other,4
