edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,adc13862-593f-47f6-aa55-46d9cb86af22,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,6a202486-d489-49b3-a55c-93997f07e92c
2,1,6,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,f04c84ab-cd11-4788-9fdb-c46cdee23860,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,8eb062f2-5b67-4045-8f2f-eb30726bf520
3,1,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,0345b77c-4e4d-41d1-9595-e8d2997c6c1a,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
4,1,15,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,82d97313-0bd6-434d-be44-92da442937cb,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,a75642ac-5911-4a55-b61b-f95c757607b4
5,2,3,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,46f7e0fb-b1d8-496c-be65-e84318566bde,6a202486-d489-49b3-a55c-93997f07e92c,8e1a4732-d5f4-4a8f-9289-4ccc56853825
6,2,9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,a1110752-8e94-4784-9cad-ecd3d27559cf,6a202486-d489-49b3-a55c-93997f07e92c,dd190408-d0bf-44a8-a3c4-e3a380618681
7,2,12,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,5eaa2473-95c8-4f01-8ad6-3a6b51bad227,6a202486-d489-49b3-a55c-93997f07e92c,2d69aa29-526a-4703-91fd-982897e4ac5c
8,3,9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,5cd933f1-4f63-46e1-a86e-a9e4bf18be95,8e1a4732-d5f4-4a8f-9289-4ccc56853825,dd190408-d0bf-44a8-a3c4-e3a380618681
9,3,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,ec02f6d7-f173-43a3-8a68-fba1f4b10290,8e1a4732-d5f4-4a8f-9289-4ccc56853825,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
10,4,6,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,3ce57525-fb50-43a3-a647-bc869a1a79a8,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,8eb062f2-5b67-4045-8f2f-eb30726bf520
11,4,7,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,a650bd48-3d50-4dc4-aa93-209e08cb24c9,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,63b2f257-4567-49e2-a619-aad24f292012
12,4,8,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,10ca8a4b-7bcc-4fbc-badd-530f6b9b786b,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,66a2008e-917b-47ec-b736-1ed0fd836851
13,4,10,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,c9cf81f1-f80c-4f68-9e97-aecd4ad8cf67,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,cf354d28-aeba-4af5-bbe8-019030d6a220
14,5,7,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,9d2b22dc-0805-4d04-8e7a-2454c02bc37b,932747df-bb67-4146-b77b-469d3a911704,63b2f257-4567-49e2-a619-aad24f292012
15,5,8,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,41a630bb-6892-44a3-918c-ad04d54d79af,932747df-bb67-4146-b77b-469d3a911704,66a2008e-917b-47ec-b736-1ed0fd836851
16,5,11,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,059fae93-8709-47b0-a2ea-956681788f18,932747df-bb67-4146-b77b-469d3a911704,6fc776cf-a42f-491e-b7e0-9c9604fa4cda
17,5,14,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,f56c71c1-2ce0-4d68-ab9e-5d7b4b1ada66,932747df-bb67-4146-b77b-469d3a911704,17d058e0-6fb9-4a2b-813f-186b73e6a380
18,5,15,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,b8eb062e-3d20-4675-ab41-02d84d67b0a4,932747df-bb67-4146-b77b-469d3a911704,a75642ac-5911-4a55-b61b-f95c757607b4
19,6,7,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,5f949fd2-509d-419a-b383-135186c456c0,8eb062f2-5b67-4045-8f2f-eb30726bf520,63b2f257-4567-49e2-a619-aad24f292012
20,6,9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,202eec4a-03b2-4b24-b4e5-d433cedf335d,8eb062f2-5b67-4045-8f2f-eb30726bf520,dd190408-d0bf-44a8-a3c4-e3a380618681
21,6,10,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,05f7263f-d3be-47e0-b61b-9fe931cf9dc0,8eb062f2-5b67-4045-8f2f-eb30726bf520,cf354d28-aeba-4af5-bbe8-019030d6a220
22,6,12,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,d653aa60-e88d-4143-aced-55e8a285e0cc,8eb062f2-5b67-4045-8f2f-eb30726bf520,2d69aa29-526a-4703-91fd-982897e4ac5c
23,7,8,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,93057e76-6d71-4f63-8c06-98e29fba9e94,63b2f257-4567-49e2-a619-aad24f292012,66a2008e-917b-47ec-b736-1ed0fd836851
24,7,9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,2f34bd82-e2c2-4634-8fa2-f6e8359b38d9,63b2f257-4567-49e2-a619-aad24f292012,dd190408-d0bf-44a8-a3c4-e3a380618681
25,7,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,d7ca6572-00ed-46ed-8948-e7d0ce66c679,63b2f257-4567-49e2-a619-aad24f292012,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
26,8,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,5d44a3f1-0122-4bd6-b989-d882aad05982,66a2008e-917b-47ec-b736-1ed0fd836851,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
27,9,10,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,71a19383-63e1-4765-89c6-34f104bb2955,dd190408-d0bf-44a8-a3c4-e3a380618681,cf354d28-aeba-4af5-bbe8-019030d6a220
28,9,11,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,5bb30e54-e486-4bd3-83f4-0372b34d47f0,dd190408-d0bf-44a8-a3c4-e3a380618681,6fc776cf-a42f-491e-b7e0-9c9604fa4cda
29,9,14,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,f5022f13-1bf3-4c8d-8025-dd85944c997a,dd190408-d0bf-44a8-a3c4-e3a380618681,17d058e0-6fb9-4a2b-813f-186b73e6a380
30,10,14,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,bd75dcc9-bf9b-4b41-b545-43811a315c57,cf354d28-aeba-4af5-bbe8-019030d6a220,17d058e0-6fb9-4a2b-813f-186b73e6a380
31,10,15,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8973ce7f-d4a7-4758-810d-598cc33bfe5c,cf354d28-aeba-4af5-bbe8-019030d6a220,a75642ac-5911-4a55-b61b-f95c757607b4
32,11,12,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,808f1c64-c2b1-4e0a-b71a-bd33e4650b46,6fc776cf-a42f-491e-b7e0-9c9604fa4cda,2d69aa29-526a-4703-91fd-982897e4ac5c
33,11,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,9cb914d3-56ef-40fd-833e-d5bb4c3abcfb,6fc776cf-a42f-491e-b7e0-9c9604fa4cda,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
34,12,13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,85392e6b-368a-4db4-b75e-4fc09c15a6f4,2d69aa29-526a-4703-91fd-982897e4ac5c,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec
