nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,96f49992-a293-45b1-bd84-ccedf42d66fc,5defc4e6-3175-4181-9c8a-648699f85b37,65_99,true,false,false,false,false,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter1,other,3
2,96f49992-a293-45b1-bd84-ccedf42d66fc,1ccc9df2-0368-4a01-b94e-879377878219,56_65,true,false,false,false,false,5,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter2,other,3
3,96f49992-a293-45b1-bd84-ccedf42d66fc,30fd8316-7e10-4fe3-afca-3ab2135856b4,46_55,true,false,false,false,false,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter3,male,4
4,96f49992-a293-45b1-bd84-ccedf42d66fc,39887f8b-07b7-4d12-aac6-1f61ce26f3df,65_99,true,false,false,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter4,male,5
5,96f49992-a293-45b1-bd84-ccedf42d66fc,1f539e42-90a5-4642-8245-b6344048451c,56_65,true,false,false,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter5,male,2
6,96f49992-a293-45b1-bd84-ccedf42d66fc,55d9a0e2-c6db-46d5-8dc5-caa0849def08,26_35,false,true,false,false,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter6,female,3
7,96f49992-a293-45b1-bd84-ccedf42d66fc,ecf239ab-a17f-4ac6-b54c-6b0fedc33801,18_25,false,false,false,true,false,5,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter7,male,1
8,96f49992-a293-45b1-bd84-ccedf42d66fc,04489e2b-89ba-4501-873f-3aa71820bffd,26_35,false,true,false,false,false,3,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter8,other,5
9,96f49992-a293-45b1-bd84-ccedf42d66fc,c127476c-e5a0-4ec4-9245-de1841ee6320,36_45,false,false,false,true,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter9,male,5
10,96f49992-a293-45b1-bd84-ccedf42d66fc,d10b7eaf-8a91-438f-b5b1-e71454716382,18_25,false,false,false,true,false,3,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter10,other,5
11,96f49992-a293-45b1-bd84-ccedf42d66fc,5b3a82a5-0610-4831-a8e9-846c6d0d625e,10_17,false,false,true,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter11,male,3
12,96f49992-a293-45b1-bd84-ccedf42d66fc,27976c3a-994f-4276-8108-ac566594aaae,0_9,false,false,true,false,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter12,other,2
13,96f49992-a293-45b1-bd84-ccedf42d66fc,a90007d6-5434-4ba5-9ec5-1853846216ba,10_17,false,false,true,false,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter13,male,2
14,96f49992-a293-45b1-bd84-ccedf42d66fc,94e59a56-e8ff-4405-adb9-2642e4674ec6,18_25,false,false,true,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter14,female,3
15,96f49992-a293-45b1-bd84-ccedf42d66fc,bf73986e-433f-4b78-9d41-a95aa7cc9644,0_9,false,false,true,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter15,other,4
