edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,3,96f49992-a293-45b1-bd84-ccedf42d66fc,25fd10cc-8c4e-4789-bc4d-7f0c09048612,5defc4e6-3175-4181-9c8a-648699f85b37,30fd8316-7e10-4fe3-afca-3ab2135856b4
2,1,6,96f49992-a293-45b1-bd84-ccedf42d66fc,08faddbd-0abc-4073-b71e-3b8894f36cd8,5defc4e6-3175-4181-9c8a-648699f85b37,55d9a0e2-c6db-46d5-8dc5-caa0849def08
3,1,7,96f49992-a293-45b1-bd84-ccedf42d66fc,67438433-52e2-4820-91c4-e215c4d4a3ad,5defc4e6-3175-4181-9c8a-648699f85b37,ecf239ab-a17f-4ac6-b54c-6b0fedc33801
4,2,3,96f49992-a293-45b1-bd84-ccedf42d66fc,468c0fd5-8e8c-46f1-80ac-39e13cdcb8fc,1ccc9df2-0368-4a01-b94e-879377878219,30fd8316-7e10-4fe3-afca-3ab2135856b4
5,2,6,96f49992-a293-45b1-bd84-ccedf42d66fc,a784157f-6409-4145-985e-5471d60497f4,1ccc9df2-0368-4a01-b94e-879377878219,55d9a0e2-c6db-46d5-8dc5-caa0849def08
6,2,10,96f49992-a293-45b1-bd84-ccedf42d66fc,2b6ff5c0-53b5-435f-b0d0-43399cf59751,1ccc9df2-0368-4a01-b94e-879377878219,d10b7eaf-8a91-438f-b5b1-e71454716382
7,3,5,96f49992-a293-45b1-bd84-ccedf42d66fc,7c703fa6-382e-4dc0-bb84-8179545bd1e7,30fd8316-7e10-4fe3-afca-3ab2135856b4,1f539e42-90a5-4642-8245-b6344048451c
8,3,6,96f49992-a293-45b1-bd84-ccedf42d66fc,e1a0f9e6-c970-4b42-a51f-d4c86b4a5f70,30fd8316-7e10-4fe3-afca-3ab2135856b4,55d9a0e2-c6db-46d5-8dc5-caa0849def08
9,3,8,96f49992-a293-45b1-bd84-ccedf42d66fc,a826dc0a-0f1f-4f96-9ac8-2e1a7ab2bc0f,30fd8316-7e10-4fe3-afca-3ab2135856b4,04489e2b-89ba-4501-873f-3aa71820bffd
10,4,6,96f49992-a293-45b1-bd84-ccedf42d66fc,4e020dce-59ce-4adf-aa4c-2143d9d1de26,39887f8b-07b7-4d12-aac6-1f61ce26f3df,55d9a0e2-c6db-46d5-8dc5-caa0849def08
11,6,11,96f49992-a293-45b1-bd84-ccedf42d66fc,6d6f5451-6a55-47d5-8c22-8d24c49e4f8d,55d9a0e2-c6db-46d5-8dc5-caa0849def08,5b3a82a5-0610-4831-a8e9-846c6d0d625e
12,6,13,96f49992-a293-45b1-bd84-ccedf42d66fc,51fc68e2-0469-4cea-8748-66c79465d1d6,55d9a0e2-c6db-46d5-8dc5-caa0849def08,a90007d6-5434-4ba5-9ec5-1853846216ba
13,6,14,96f49992-a293-45b1-bd84-ccedf42d66fc,71958652-58ce-47df-bb0e-e91351565b41,55d9a0e2-c6db-46d5-8dc5-caa0849def08,94e59a56-e8ff-4405-adb9-2642e4674ec6
14,7,8,96f49992-a293-45b1-bd84-ccedf42d66fc,95c49947-c21b-49ec-9a87-3762ba5ff385,ecf239ab-a17f-4ac6-b54c-6b0fedc33801,04489e2b-89ba-4501-873f-3aa71820bffd
15,7,14,96f49992-a293-45b1-bd84-ccedf42d66fc,eb1bc3ce-52bb-4c82-afc3-463466762e5d,ecf239ab-a17f-4ac6-b54c-6b0fedc33801,94e59a56-e8ff-4405-adb9-2642e4674ec6
16,8,9,96f49992-a293-45b1-bd84-ccedf42d66fc,660ce529-9df9-40da-99c5-75f3cb0cddcc,04489e2b-89ba-4501-873f-3aa71820bffd,c127476c-e5a0-4ec4-9245-de1841ee6320
17,8,11,96f49992-a293-45b1-bd84-ccedf42d66fc,bb4a8f59-8a1b-4674-adbf-ca59f84acd50,04489e2b-89ba-4501-873f-3aa71820bffd,5b3a82a5-0610-4831-a8e9-846c6d0d625e
18,8,13,96f49992-a293-45b1-bd84-ccedf42d66fc,c5c2a802-38fb-4a31-b1a2-14cb0ba94bca,04489e2b-89ba-4501-873f-3aa71820bffd,a90007d6-5434-4ba5-9ec5-1853846216ba
19,8,15,96f49992-a293-45b1-bd84-ccedf42d66fc,7a7ec27a-6f4b-43da-8ccd-b4fc27be4d49,04489e2b-89ba-4501-873f-3aa71820bffd,bf73986e-433f-4b78-9d41-a95aa7cc9644
20,9,11,96f49992-a293-45b1-bd84-ccedf42d66fc,a7a1a206-4646-47e3-91d8-598208046a98,c127476c-e5a0-4ec4-9245-de1841ee6320,5b3a82a5-0610-4831-a8e9-846c6d0d625e
21,9,14,96f49992-a293-45b1-bd84-ccedf42d66fc,9166f39b-9e09-4394-b73d-b8b26cca9039,c127476c-e5a0-4ec4-9245-de1841ee6320,94e59a56-e8ff-4405-adb9-2642e4674ec6
22,9,15,96f49992-a293-45b1-bd84-ccedf42d66fc,4b91bd1b-792f-4e9b-b093-e4da96b49683,c127476c-e5a0-4ec4-9245-de1841ee6320,bf73986e-433f-4b78-9d41-a95aa7cc9644
23,10,13,96f49992-a293-45b1-bd84-ccedf42d66fc,1cad61cf-a12d-45e9-ac94-d1441265d37e,d10b7eaf-8a91-438f-b5b1-e71454716382,a90007d6-5434-4ba5-9ec5-1853846216ba
24,11,15,96f49992-a293-45b1-bd84-ccedf42d66fc,56d468c0-04de-4815-9045-c227762072b5,5b3a82a5-0610-4831-a8e9-846c6d0d625e,bf73986e-433f-4b78-9d41-a95aa7cc9644
25,12,15,96f49992-a293-45b1-bd84-ccedf42d66fc,cacd59b1-f432-4fb6-ae98-436f57af1491,27976c3a-994f-4276-8108-ac566594aaae,bf73986e-433f-4b78-9d41-a95aa7cc9644
26,14,15,96f49992-a293-45b1-bd84-ccedf42d66fc,baf2ae41-7ecd-497c-b4aa-b9954a4dc34e,94e59a56-e8ff-4405-adb9-2642e4674ec6,bf73986e-433f-4b78-9d41-a95aa7cc9644
