nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,5cc91590-6c1c-4f70-a9c8-42416809bb76,26_35,false,false,true,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter1,male,2
2,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,051fbb13-c981-455d-9b2c-e9499a1ed216,65_99,false,false,true,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter2,female,1
3,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,47e71a9f-9b6d-47a1-a74c-d1e49a89c3e3,10_17,false,false,false,true,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter3,other,2
4,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,0b06e3e7-e49b-473a-a4b2-1eb747d9af43,36_45,false,false,false,false,true,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter4,male,1
5,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,4fc18260-c257-49eb-80ef-1f1d94f0cb62,46_55,false,true,false,false,false,3,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter5,female,4
6,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,cd668468-1876-413d-b643-3255d63e78c0,36_45,false,false,false,false,true,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter6,other,5
7,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,12d15ea3-ef61-4c0f-ab92-336f33c599c2,36_45,true,false,false,false,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter7,female,3
8,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,42f4e95d-8951-4dc6-9169-b74e15da4c9f,10_17,true,false,false,false,false,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter8,female,3
9,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,9bb7ca33-f053-4a25-83be-9a1e0c3ce833,26_35,false,false,true,false,false,3,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter9,female,3
10,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,3e9758b4-0007-4f42-9189-37c33db769dc,65_99,false,false,false,false,true,3,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter10,female,1
11,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,41fa8152-3f81-4c1a-be2a-71fa3c9fe093,36_45,false,false,false,true,false,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter11,female,3
12,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,2d4fe911-7536-4292-822e-05fd07ed1247,36_45,false,true,false,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter12,other,4
13,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,52d643ab-0445-414b-be60-0d22d68c695f,56_65,false,false,false,false,true,5,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter13,female,1
14,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,71cae1eb-ff83-4b42-87b6-82112f732bee,18_25,true,false,false,false,false,5,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter14,female,3
15,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,e5c39b6c-4d80-49d9-b02a-b6ed131ae517,18_25,false,false,false,false,true,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter15,female,1
