edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,3,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,afce85d6-52b9-4763-b6f2-13d2b8ed92c8,5cc91590-6c1c-4f70-a9c8-42416809bb76,47e71a9f-9b6d-47a1-a74c-d1e49a89c3e3
2,1,4,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,3ba66206-9c00-4b02-ab2e-a4bfc16163a8,5cc91590-6c1c-4f70-a9c8-42416809bb76,0b06e3e7-e49b-473a-a4b2-1eb747d9af43
3,1,8,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,b5a71e44-b229-4f49-9c18-2ab1695a994b,5cc91590-6c1c-4f70-a9c8-42416809bb76,42f4e95d-8951-4dc6-9169-b74e15da4c9f
4,1,11,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,ea2386d5-0ff1-455d-a9ff-52d1d8703661,5cc91590-6c1c-4f70-a9c8-42416809bb76,41fa8152-3f81-4c1a-be2a-71fa3c9fe093
5,1,15,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,61ad2cae-a6ae-4959-b190-b20d9be59b5b,5cc91590-6c1c-4f70-a9c8-42416809bb76,e5c39b6c-4d80-49d9-b02a-b6ed131ae517
6,2,5,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,8debb903-ba23-47a0-a97c-cb0b08f01c2e,051fbb13-c981-455d-9b2c-e9499a1ed216,4fc18260-c257-49eb-80ef-1f1d94f0cb62
7,2,6,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,a81dd5d8-0ba3-4362-98b9-04f75ad75e02,051fbb13-c981-455d-9b2c-e9499a1ed216,cd668468-1876-413d-b643-3255d63e78c0
8,2,7,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,8dc7f545-ffab-4fd8-b644-f51bff42dd46,051fbb13-c981-455d-9b2c-e9499a1ed216,12d15ea3-ef61-4c0f-ab92-336f33c599c2
9,2,12,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,b145ea15-f102-4060-b128-ffc3525de839,051fbb13-c981-455d-9b2c-e9499a1ed216,2d4fe911-7536-4292-822e-05fd07ed1247
10,3,4,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,ce725012-7c37-45f4-aa68-8fec043369db,47e71a9f-9b6d-47a1-a74c-d1e49a89c3e3,0b06e3e7-e49b-473a-a4b2-1eb747d9af43
