nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,82d2ef44-8636-4214-ba7b-4694793321d2,f17d26b9-2984-468b-a64e-132e928bbb5f,56_65,false,false,true,false,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter1,other,1
2,82d2ef44-8636-4214-ba7b-4694793321d2,4fe04fde-4576-4948-8a5c-95fe08a04258,26_35,false,false,false,false,true,3,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter2,female,4
3,82d2ef44-8636-4214-ba7b-4694793321d2,7c7c8e49-f425-4d4e-89eb-df5bdffaa523,26_35,false,false,false,false,true,3,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter3,male,1
4,82d2ef44-8636-4214-ba7b-4694793321d2,d7b5768e-341e-45f9-bef1-a1b59fbe1257,46_55,false,false,true,false,false,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter4,other,3
5,82d2ef44-8636-4214-ba7b-4694793321d2,53866ce4-d1df-4309-8d85-da0daab48b2e,56_65,false,false,true,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter5,male,3
6,82d2ef44-8636-4214-ba7b-4694793321d2,8116a6cd-0bcd-4102-be3c-ad6c143e3af3,18_25,false,false,false,false,true,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter6,male,4
7,82d2ef44-8636-4214-ba7b-4694793321d2,e45ed03e-47cd-490e-ae21-d345a9e7f67d,36_45,false,true,false,false,false,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter7,other,1
8,82d2ef44-8636-4214-ba7b-4694793321d2,ba8ed2ca-a947-41ed-aa14-ab682c988f2d,36_45,false,false,true,false,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter8,male,5
9,82d2ef44-8636-4214-ba7b-4694793321d2,fa4bd65c-14d7-4de8-a52b-2ceec9f65242,46_55,false,false,false,false,true,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter9,male,4
10,82d2ef44-8636-4214-ba7b-4694793321d2,8414ad7c-8c46-46db-b94a-dd2003f1bf54,65_99,false,true,false,false,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter10,other,1
11,82d2ef44-8636-4214-ba7b-4694793321d2,6625f87d-bf77-44a3-9e2d-64d9c86d674f,46_55,false,false,true,false,false,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter11,female,3
12,82d2ef44-8636-4214-ba7b-4694793321d2,5a9d6905-a9cb-4a12-9c0c-47c6c958ca59,26_35,false,true,false,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter12,female,1
13,82d2ef44-8636-4214-ba7b-4694793321d2,552bc356-6c66-4d98-a8f3-6f5fd361a2e3,65_99,false,true,false,false,false,5,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter13,female,4
14,82d2ef44-8636-4214-ba7b-4694793321d2,01b04741-4cd5-4323-a7ed-f99c7fcf8087,26_35,false,false,false,true,false,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter14,male,4
15,82d2ef44-8636-4214-ba7b-4694793321d2,eef1cd83-043d-4984-8c07-0bdae925706a,18_25,false,true,false,false,false,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter15,female,4
