edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,8,82d2ef44-8636-4214-ba7b-4694793321d2,aff4eec9-c3d8-43a1-8d80-3323e3437478,f17d26b9-2984-468b-a64e-132e928bbb5f,ba8ed2ca-a947-41ed-aa14-ab682c988f2d
2,2,4,82d2ef44-8636-4214-ba7b-4694793321d2,ec701300-6b5f-45c4-91fd-5dbdbd51477e,4fe04fde-4576-4948-8a5c-95fe08a04258,d7b5768e-341e-45f9-bef1-a1b59fbe1257
3,2,5,82d2ef44-8636-4214-ba7b-4694793321d2,1a522c33-198a-4167-b68b-694910469174,4fe04fde-4576-4948-8a5c-95fe08a04258,53866ce4-d1df-4309-8d85-da0daab48b2e
4,2,6,82d2ef44-8636-4214-ba7b-4694793321d2,71045a4a-b2c5-4b4f-a624-e9627b929810,4fe04fde-4576-4948-8a5c-95fe08a04258,8116a6cd-0bcd-4102-be3c-ad6c143e3af3
5,2,9,82d2ef44-8636-4214-ba7b-4694793321d2,d372443d-7099-4b9e-9231-852697504d12,4fe04fde-4576-4948-8a5c-95fe08a04258,fa4bd65c-14d7-4de8-a52b-2ceec9f65242
6,2,11,82d2ef44-8636-4214-ba7b-4694793321d2,ec5e995d-7c8e-491e-aae9-46dd9c179996,4fe04fde-4576-4948-8a5c-95fe08a04258,6625f87d-bf77-44a3-9e2d-64d9c86d674f
7,3,5,82d2ef44-8636-4214-ba7b-4694793321d2,0c94d930-3ea0-4ff8-8432-734f5eaf84b3,7c7c8e49-f425-4d4e-89eb-df5bdffaa523,53866ce4-d1df-4309-8d85-da0daab48b2e
8,3,7,82d2ef44-8636-4214-ba7b-4694793321d2,b7c44e3d-2468-46af-a285-7ea828e949b4,7c7c8e49-f425-4d4e-89eb-df5bdffaa523,e45ed03e-47cd-490e-ae21-d345a9e7f67d
9,3,8,82d2ef44-8636-4214-ba7b-4694793321d2,106adb37-fa16-4d3d-8a80-91603a6ffef3,7c7c8e49-f425-4d4e-89eb-df5bdffaa523,ba8ed2ca-a947-41ed-aa14-ab682c988f2d
10,4,6,82d2ef44-8636-4214-ba7b-4694793321d2,881b8757-f2cc-4e97-8c57-8f9df15f6a24,d7b5768e-341e-45f9-bef1-a1b59fbe1257,8116a6cd-0bcd-4102-be3c-ad6c143e3af3
11,4,13,82d2ef44-8636-4214-ba7b-4694793321d2,ed3c3b19-c709-4ee9-a49c-2e8f23981c46,d7b5768e-341e-45f9-bef1-a1b59fbe1257,552bc356-6c66-4d98-a8f3-6f5fd361a2e3
12,4,14,82d2ef44-8636-4214-ba7b-4694793321d2,fbccda86-2841-4e0f-b16a-3a6f8f8157ab,d7b5768e-341e-45f9-bef1-a1b59fbe1257,01b04741-4cd5-4323-a7ed-f99c7fcf8087
13,5,9,82d2ef44-8636-4214-ba7b-4694793321d2,b8cf52ef-ccbf-49f8-9333-8906f4dac99e,53866ce4-d1df-4309-8d85-da0daab48b2e,fa4bd65c-14d7-4de8-a52b-2ceec9f65242
14,5,10,82d2ef44-8636-4214-ba7b-4694793321d2,ae58c13c-962b-424d-9898-83ecd7e24f07,53866ce4-d1df-4309-8d85-da0daab48b2e,8414ad7c-8c46-46db-b94a-dd2003f1bf54
