nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,28202870-0e8a-4600-9434-c280eff762cd,4d49ba4c-f9f8-41e2-a239-d144dc658721,65_99,false,false,false,true,false,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter1,male,3
2,28202870-0e8a-4600-9434-c280eff762cd,2a409b4e-bf89-4189-a979-43fcb0462f2c,56_65,false,false,false,true,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter2,other,5
3,28202870-0e8a-4600-9434-c280eff762cd,16ccf245-ba84-46e0-93b3-5defa16fb18d,26_35,false,false,false,false,true,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter3,female,3
4,28202870-0e8a-4600-9434-c280eff762cd,ef7f2b98-344c-44e8-8cf7-3e96e4114a93,65_99,false,false,false,true,false,1,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter4,male,3
5,28202870-0e8a-4600-9434-c280eff762cd,9590a8c2-353e-445f-a8ff-8e7e2dfd52e3,18_25,false,false,false,true,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter5,female,5
6,28202870-0e8a-4600-9434-c280eff762cd,ed1b49db-ad0a-4ca8-ab4a-dead022f4712,0_9,false,false,false,false,true,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter6,other,5
7,28202870-0e8a-4600-9434-c280eff762cd,2124acb2-6938-4f90-9027-61c402562067,10_17,true,false,false,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter7,female,4
8,28202870-0e8a-4600-9434-c280eff762cd,9019859b-55a2-44f6-921c-6b794b72a850,0_9,false,true,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter8,male,3
9,28202870-0e8a-4600-9434-c280eff762cd,46e83a43-dce7-47ac-bddc-c4eec32b7414,65_99,false,true,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter9,male,4
10,28202870-0e8a-4600-9434-c280eff762cd,bd94b304-691b-490e-85ef-3398d3e374c0,56_65,false,false,true,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter10,female,4
11,28202870-0e8a-4600-9434-c280eff762cd,e4fe731d-dd11-4d96-808c-f6affff1c938,0_9,true,false,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter11,female,1
12,28202870-0e8a-4600-9434-c280eff762cd,9ab16a0b-f2e0-4692-b60b-23ab80caedb7,0_9,true,false,false,false,false,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter12,female,1
13,28202870-0e8a-4600-9434-c280eff762cd,854a3a13-ecce-484a-a7a9-102dcde4281e,18_25,false,false,false,false,true,2,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter13,female,4
14,28202870-0e8a-4600-9434-c280eff762cd,c2b4e86c-684d-42af-8f52-857eed40dc8d,26_35,true,false,false,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter14,other,3
15,28202870-0e8a-4600-9434-c280eff762cd,9a41b2f6-98d2-4730-818d-5b7aadf44858,18_25,false,false,true,false,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter15,other,1
