edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,5,28202870-0e8a-4600-9434-c280eff762cd,2f18fa0b-dbe1-416f-9211-59cfa8ddc092,4d49ba4c-f9f8-41e2-a239-d144dc658721,9590a8c2-353e-445f-a8ff-8e7e2dfd52e3
2,1,15,28202870-0e8a-4600-9434-c280eff762cd,5e95ca2b-68fd-4c87-8a5f-415e0dfaeeac,4d49ba4c-f9f8-41e2-a239-d144dc658721,9a41b2f6-98d2-4730-818d-5b7aadf44858
3,2,14,28202870-0e8a-4600-9434-c280eff762cd,f05bc6e5-9fc2-4efe-8608-bbf7ae288866,2a409b4e-bf89-4189-a979-43fcb0462f2c,c2b4e86c-684d-42af-8f52-857eed40dc8d
4,4,5,28202870-0e8a-4600-9434-c280eff762cd,499a7cb2-4a30-4482-9126-8625b47e47df,ef7f2b98-344c-44e8-8cf7-3e96e4114a93,9590a8c2-353e-445f-a8ff-8e7e2dfd52e3
5,4,14,28202870-0e8a-4600-9434-c280eff762cd,41a97bec-291a-4e66-ac03-7f57c0ba7808,ef7f2b98-344c-44e8-8cf7-3e96e4114a93,c2b4e86c-684d-42af-8f52-857eed40dc8d
6,5,6,28202870-0e8a-4600-9434-c280eff762cd,11fd96fa-d68f-4d90-beb4-aafeba677178,9590a8c2-353e-445f-a8ff-8e7e2dfd52e3,ed1b49db-ad0a-4ca8-ab4a-dead022f4712
7,7,12,28202870-0e8a-4600-9434-c280eff762cd,8b15072d-e297-44da-a1c2-9054794628f8,2124acb2-6938-4f90-9027-61c402562067,9ab16a0b-f2e0-4692-b60b-23ab80caedb7
8,7,13,28202870-0e8a-4600-9434-c280eff762cd,1a59ffa9-857d-4dc9-a955-0bf6d86176d7,2124acb2-6938-4f90-9027-61c402562067,854a3a13-ecce-484a-a7a9-102dcde4281e
9,9,12,28202870-0e8a-4600-9434-c280eff762cd,ab0df507-4ff1-43eb-8d74-f6c72ed17e05,46e83a43-dce7-47ac-bddc-c4eec32b7414,9ab16a0b-f2e0-4692-b60b-23ab80caedb7
10,10,12,28202870-0e8a-4600-9434-c280eff762cd,ab26162e-ee79-47db-99d0-92ccc7693ac0,bd94b304-691b-490e-85ef-3398d3e374c0,9ab16a0b-f2e0-4692-b60b-23ab80caedb7
