nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,06029b97-694c-41b8-807e-4cb07dca16a8,e07abebf-cbd5-4b58-941b-a8cc9af8610f,36_45,true,false,false,false,false,5,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter1,other,4
2,06029b97-694c-41b8-807e-4cb07dca16a8,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,65_99,true,false,false,false,false,4,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter2,other,5
3,06029b97-694c-41b8-807e-4cb07dca16a8,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,36_45,true,false,false,false,false,3,4,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter3,female,1
4,06029b97-694c-41b8-807e-4cb07dca16a8,a162c1a7-bf2c-4d3b-8f38-17e608624264,36_45,false,true,false,false,false,4,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter4,female,4
5,06029b97-694c-41b8-807e-4cb07dca16a8,c645f0a3-9fd5-4414-8324-c960983f79d4,56_65,false,true,false,false,false,3,3,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter5,female,4
6,06029b97-694c-41b8-807e-4cb07dca16a8,aecbf17e-9a82-4aa1-9955-7e44d701f95e,46_55,false,false,true,false,false,2,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter6,male,2
7,06029b97-694c-41b8-807e-4cb07dca16a8,f6c3871e-8439-4c64-a867-8168be65acdd,46_55,false,false,true,false,false,3,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter7,male,3
8,06029b97-694c-41b8-807e-4cb07dca16a8,3f6d3f7e-104b-4fff-8282-5983efc7df0f,36_45,false,false,true,false,false,5,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter8,female,5
9,06029b97-694c-41b8-807e-4cb07dca16a8,64061c1d-fb1d-47a4-8940-0bee121a0cf7,26_35,false,false,true,false,false,1,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter9,female,4
10,06029b97-694c-41b8-807e-4cb07dca16a8,a6021fce-167f-4850-bda6-38bbc6a9662b,65_99,false,false,false,true,false,5,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter10,female,4
11,06029b97-694c-41b8-807e-4cb07dca16a8,6813db02-e1c6-4a4d-8be1-63acdc681fd8,65_99,false,false,false,true,false,4,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter11,female,1
12,06029b97-694c-41b8-807e-4cb07dca16a8,e510799d-906a-4ea9-bb04-8baf02b96772,36_45,false,false,false,true,false,2,1,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter12,male,2
13,06029b97-694c-41b8-807e-4cb07dca16a8,f743a562-a3c8-4951-86a1-5c709a576589,36_45,false,false,false,false,true,5,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter13,male,4
14,06029b97-694c-41b8-807e-4cb07dca16a8,a580fe43-8d06-49a3-b75e-df36314ddea0,46_55,false,false,false,false,true,4,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter14,other,5
15,06029b97-694c-41b8-807e-4cb07dca16a8,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12,46_55,false,false,false,false,true,3,2,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,alter15,other,4
