edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,3,06029b97-694c-41b8-807e-4cb07dca16a8,fb5d8fac-e775-4949-ba80-9432634ba07c,e07abebf-cbd5-4b58-941b-a8cc9af8610f,bc0aec74-8bd2-46c3-8b43-3797e85c23cf
2,1,7,06029b97-694c-41b8-807e-4cb07dca16a8,6848d926-a9d5-4d40-88fd-384e29996b56,e07abebf-cbd5-4b58-941b-a8cc9af8610f,f6c3871e-8439-4c64-a867-8168be65acdd
3,1,8,06029b97-694c-41b8-807e-4cb07dca16a8,ca47ab2a-6d42-4035-bb49-0787636ff6a1,e07abebf-cbd5-4b58-941b-a8cc9af8610f,3f6d3f7e-104b-4fff-8282-5983efc7df0f
4,1,14,06029b97-694c-41b8-807e-4cb07dca16a8,a8220c47-680f-42a2-8299-47354d8b0e5d,e07abebf-cbd5-4b58-941b-a8cc9af8610f,a580fe43-8d06-49a3-b75e-df36314ddea0
5,2,4,06029b97-694c-41b8-807e-4cb07dca16a8,668776dd-d8ee-491f-83d6-ef427deb05db,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,a162c1a7-bf2c-4d3b-8f38-17e608624264
6,2,5,06029b97-694c-41b8-807e-4cb07dca16a8,9eeac552-13eb-4063-9920-887cb765e8bd,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,c645f0a3-9fd5-4414-8324-c960983f79d4
7,2,11,06029b97-694c-41b8-807e-4cb07dca16a8,4af31eb5-4aef-443b-8407-f01e8060deb6,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,6813db02-e1c6-4a4d-8be1-63acdc681fd8
8,2,12,06029b97-694c-41b8-807e-4cb07dca16a8,599e7032-8861-42cb-8b27-f430e87d0eef,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,e510799d-906a-4ea9-bb04-8baf02b96772
9,2,13,06029b97-694c-41b8-807e-4cb07dca16a8,4215df72-3825-4266-84eb-5e319c0364db,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,f743a562-a3c8-4951-86a1-5c709a576589
10,3,4,06029b97-694c-41b8-807e-4cb07dca16a8,2d344250-c992-41a6-986f-f53548e5c73c,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,a162c1a7-bf2c-4d3b-8f38-17e608624264
11,3,6,06029b97-694c-41b8-807e-4cb07dca16a8,efb89b3e-0d31-49a0-953d-79b53875adcb,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,aecbf17e-9a82-4aa1-9955-7e44d701f95e
12,3,9,06029b97-694c-41b8-807e-4cb07dca16a8,fda620ca-b32c-4a55-ac22-ddb5f01b5712,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,64061c1d-fb1d-47a4-8940-0bee121a0cf7
13,3,12,06029b97-694c-41b8-807e-4cb07dca16a8,3b8481e9-f7d9-41f7-903e-eb25878f8f75,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,e510799d-906a-4ea9-bb04-8baf02b96772
14,3,13,06029b97-694c-41b8-807e-4cb07dca16a8,0debd661-f614-4e9f-b3cf-971c2f87ef33,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,f743a562-a3c8-4951-86a1-5c709a576589
15,3,14,06029b97-694c-41b8-807e-4cb07dca16a8,ef6dccdd-a8a3-4b0e-b41d-ad3913643823,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,a580fe43-8d06-49a3-b75e-df36314ddea0
16,3,15,06029b97-694c-41b8-807e-4cb07dca16a8,807bf975-7b2c-488d-bda9-bafcac6c79be,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12
17,4,5,06029b97-694c-41b8-807e-4cb07dca16a8,db5f1f46-b592-4b5f-8e3e-b39292a55296,a162c1a7-bf2c-4d3b-8f38-17e608624264,c645f0a3-9fd5-4414-8324-c960983f79d4
18,4,6,06029b97-694c-41b8-807e-4cb07dca16a8,a9959cb3-143b-456f-b752-68465b9baaf8,a162c1a7-bf2c-4d3b-8f38-17e608624264,aecbf17e-9a82-4aa1-9955-7e44d701f95e
19,4,12,06029b97-694c-41b8-807e-4cb07dca16a8,703d38d0-8751-4848-901a-4990714e4ed9,a162c1a7-bf2c-4d3b-8f38-17e608624264,e510799d-906a-4ea9-bb04-8baf02b96772
20,6,8,06029b97-694c-41b8-807e-4cb07dca16a8,9c4cb84a-03f0-4fd5-9674-0367682e5a6a,aecbf17e-9a82-4aa1-9955-7e44d701f95e,3f6d3f7e-104b-4fff-8282-5983efc7df0f
21,6,14,06029b97-694c-41b8-807e-4cb07dca16a8,b42b707c-1293-4de1-a218-13eae4f60e78,aecbf17e-9a82-4aa1-9955-7e44d701f95e,a580fe43-8d06-49a3-b75e-df36314ddea0
22,6,15,06029b97-694c-41b8-807e-4cb07dca16a8,77f9c27b-a996-4859-aeb3-54beda002533,aecbf17e-9a82-4aa1-9955-7e44d701f95e,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12
23,7,9,06029b97-694c-41b8-807e-4cb07dca16a8,5d9656ef-b2e2-4714-9ea4-1534f364a687,f6c3871e-8439-4c64-a867-8168be65acdd,64061c1d-fb1d-47a4-8940-0bee121a0cf7
24,7,14,06029b97-694c-41b8-807e-4cb07dca16a8,f8bf70c7-a2df-4682-8a92-3e2f55ccdd85,f6c3871e-8439-4c64-a867-8168be65acdd,a580fe43-8d06-49a3-b75e-df36314ddea0
25,7,15,06029b97-694c-41b8-807e-4cb07dca16a8,e7337691-e880-455d-a53a-e2f4371882b4,f6c3871e-8439-4c64-a867-8168be65acdd,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12
26,9,14,06029b97-694c-41b8-807e-4cb07dca16a8,7d8ddc52-3446-4e3e-be38-7ef759ada1ca,64061c1d-fb1d-47a4-8940-0bee121a0cf7,a580fe43-8d06-49a3-b75e-df36314ddea0
27,9,15,06029b97-694c-41b8-807e-4cb07dca16a8,44dd93a9-0bf7-4d6e-bd37-95d01e3f5242,64061c1d-fb1d-47a4-8940-0bee121a0cf7,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12
28,10,13,06029b97-694c-41b8-807e-4cb07dca16a8,2b9f7fb0-1120-43e2-b14b-5b6afc002752,a6021fce-167f-4850-bda6-38bbc6a9662b,f743a562-a3c8-4951-86a1-5c709a576589
29,11,12,06029b97-694c-41b8-807e-4cb07dca16a8,87594453-7de7-4c84-831f-a573d8c655d6,6813db02-e1c6-4a4d-8be1-63acdc681fd8,e510799d-906a-4ea9-bb04-8baf02b96772
30,11,13,06029b97-694c-41b8-807e-4cb07dca16a8,84e7a0c1-515b-45e1-a51a-a80850dfaa97,6813db02-e1c6-4a4d-8be1-63acdc681fd8,f743a562-a3c8-4951-86a1-5c709a576589
31,12,13,06029b97-694c-41b8-807e-4cb07dca16a8,b13869b6-d944-40d2-a3a8-a578e2481a91,e510799d-906a-4ea9-bb04-8baf02b96772,f743a562-a3c8-4951-86a1-5c709a576589
