nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness
1,aff41946-2537-401a-a542-d53d6c177529,7d7a654f-19a5-4e3a-b672-4491cb79ed9b,18_25,false,false,false,true,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter1,other,4
2,aff41946-2537-401a-a542-d53d6c177529,3945579e-67f4-46bd-abe5-de1a1112c92e,18_25,false,false,false,false,true,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter2,female,1
3,aff41946-2537-401a-a542-d53d6c177529,ffaf9f92-c746-4bae-9d93-1f043bd232d0,56_65,false,false,false,false,true,5,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter3,other,2
4,aff41946-2537-401a-a542-d53d6c177529,85214ab0-6643-43a1-8f19-26b590100c37,18_25,false,false,false,true,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter4,male,3
5,aff41946-2537-401a-a542-d53d6c177529,a523288c-8ef2-4d60-a4a5-82c8a4d40d60,36_45,false,false,false,true,false,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter5,male,3
6,aff41946-2537-401a-a542-d53d6c177529,297dd6f6-957e-4719-aef2-9f39ff792984,18_25,false,false,false,false,true,1,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter6,male,3
7,aff41946-2537-401a-a542-d53d6c177529,3b6da20a-a194-488a-befa-bcb1a0a1a72b,36_45,false,false,false,false,true,4,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter7,other,3
8,aff41946-2537-401a-a542-d53d6c177529,42ec3105-1eaa-47e0-a6f8-f8e733ad5f5e,36_45,false,false,false,true,false,2,,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,alter8,male,4
9,aff41946-2537-401a-a542-d53d6c177529,9433cb56-c82e-4669-a70d-2585fe40af29,26_35,true,false,false,false,false,4,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter9,other,3
10,aff41946-2537-401a-a542-d53d6c177529,905d577f-d515-469e-90fa-0dd6d85c9868,36_45,false,false,false,false,true,3,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter10,female,4
11,aff41946-2537-401a-a542-d53d6c177529,3288c616-3e50-448e-a4f8-1fc5e45abd67,0_9,false,false,true,false,false,5,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter11,other,1
12,aff41946-2537-401a-a542-d53d6c177529,787723ae-49ae-4659-b9d1-c40cef76891c,65_99,false,false,false,false,true,3,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter12,female,5
13,aff41946-2537-401a-a542-d53d6c177529,79de8629-5c46-4b40-bed5-4636ff74d3f4,26_35,false,false,true,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter13,other,3
14,aff41946-2537-401a-a542-d53d6c177529,41191650-f72b-4362-9b9c-bbe2f4eab013,10_17,false,true,false,false,false,1,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter14,male,4
15,aff41946-2537-401a-a542-d53d6c177529,1ff9cc42-c4c6-4833-a23d-1340d618ff41,46_55,true,false,false,false,false,2,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,alter15,female,3
