nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness,ego_alter_interaction_context,languageKnownCategory,languageUsedCategory
1,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e3b6a145-be19-4e17-b323-49cd77ae0411,65_99,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter1,male,1,family,Spanish-English,Spanish-English
2,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7e8c645a-8bf8-4fb2-bacb-f555cd9dece6,0_9,FALSE,FALSE,TRUE,FALSE,FALSE,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter2,female,3,school,Spanish-English,Spanish-English
3,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,4f3b9164-e0a5-4527-b4f3-9c0e9d3e5ec0,10_17,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter3,other,2,social,Spanish-English,Spanish-English
4,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,22db68f3-0f08-49b3-b6e0-1f381da62643,65_99,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter4,male,2,social,Spanish-English,Spanish-English
5,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2d26680b-22e9-4151-ace9-01b6c059b7e6,18_25,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter5,other,2,community,Spanish-English,Spanish-English
6,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,79f4c110-a78e-4564-aa04-ab7281d55f31,18_25,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter6,female,1,social,Spanish-English,Spanish-English
7,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,ce57de46-4fdf-47b7-82ed-7081e93d31b4,65_99,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter7,female,4,community,Spanish-English,Spanish-English
8,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,02ec5599-3c1a-4ee5-8281-909022ca1811,18_25,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter8,other,1,family,Spanish-English,Spanish-English
9,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,5471a0a9-bbc9-43fb-b01d-1c079132b6df,46_55,FALSE,FALSE,FALSE,TRUE,FALSE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter9,other,4,work,Spanish-English,Spanish-English
10,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,e4e6a7d7-2c98-4c07-9b7e-a945faf317c4,0_9,FALSE,TRUE,FALSE,FALSE,FALSE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter10,male,3,community,Spanish-English,Spanish-English
